: 7
Acai berries: 11
Apples: 9
Artichoke hearts: 8
Artichokes: 8
Arugula: 4
Asparagus: 9
Avocado: 9
Basil: 11
Beets: 9
Bell peppers: 4
Blueberries: 9
Bok choy: 8
Broccoli: 14
Cabbage: 4
Cantaloupe: 11
Capers: 8
Carrots: 4
Cashews: 11
Cauliflower: 15
Celery: 12
Cherries: 4
Chia seeds: 11
Chickpeas: 4
Chives: 11
Cilantro: 15
Cinnamon sticks: 11
Coconut milk: 11
Couscous: 8
Cranberries: 21
Cranberry sauce: 11
Cucumbers: 14
Dill: 11
Dragon fruit: 8
Edamame: 8
Eggplant: 4
Fennel: 11
Garlic: 13
Grapes: 4
Green beans: 4
Hazelnuts: 11
Hemp seeds: 11
Jicama: 11
Juniper berries: 11
Kale: 15
Lemons: 4
Lentils: 8
Lettuce: 4
Lime leaves: 11
Limes: 2
Mango: 8
Mangoes: 4
Mint: 11
Miso paste: 11
Mushrooms: 4
Onions: 10
Oranges: 4
Papaya: 8
Parsnips: 11
Peaches: 11
Pears: 5
Peas: 16
Pine nuts: 8
Pineapple: 8
Pomegranate: 20
Potatoes: 9
Pumpkins: 7
Quinoa: 15
Radishes: 24
Rhubarb: 11
Saffron: 11
Sesame oil: 11
Shiitake mushrooms: 8
Soba noodles: 11
Sour cherries: 11
Spinach: 11
Squash: 4
Star anise: 11
Strawberries: 9
Sun-dried tomatoes: 8
Sweet potatoes: 4
Tahini: 8
Tarragon: 11
Tempeh: 8
Tofu: 11
Tomatoes: 4
Turmeric: 11
Wasabi: 8
Watermelon: 4
Yams: 10
Zucchini: 18
tils: 1
